Source,Target,Weight,Type
0x00262fa3b21847775e2db42965d0192e8dfe5bdc,0x757e936769ebc13de3e88f783169b547e76c1f84,495.1051223,Directed
0x004fd71e61d0fb00f974635faec45195b8239607,0xd6e251c23cbf52dbd472f079147873e655d8096f,488.1194012,Directed
0x0216eabb3496a5f88b1e399ad067fcbcc6889a48,0x5773c83bf1d67736a72a2d2b2d088ec37aacda77,486.1739695,Directed
0x027d34ed81d38dfc2c8de3f5f05132aa931d25a6,0x6ea3d72549454439f7d6ed396f1b8e79f2543561,489.4864599,Directed
0x02ec34da72ea2232fb449fb91663ab585d6b839a,0x9fa9f520f65ecee157a73126a6de3a9adbe31eaa,487.4936555,Directed
0x02ec8396ef494846a98ae386519bf6d91ed8d110,0x6052ba813476bc1a645b8aefd506802aaf80fff5,490.973916,Directed
0x06c60f6dd9f0e6bd96b827ec7f0de00b916e71db,0x27db3615327453b016a3a5596b7afb96d3fc342b,491.0037839,Directed
0x06c60f6dd9f0e6bd96b827ec7f0de00b916e71db,0xe4ecdf1ea42eca4cc6c6dccb5d823c0fe247c411,489.5439857,Directed
0x081ceadbcc5c2f293711b102652baa1cbccf4e52,0xf113ab890bc550a237110a776aa1b10ee9d91704,491.5176959,Directed
0x088005dc13fff2c1750bb10901962fcaba77fbc2,0x015589d9f0bf74c5408f28c950738a210c093698,490.1255074,Directed
0x0b9fa7d378875d90d20f6f5ad56540baf0a76d71,0x30af547e2b42b533d415d9f210fee0b85bb9526f,490.0338213,Directed
0x0b9fa7d378875d90d20f6f5ad56540baf0a76d71,0x7aa588d3849b9d182dbe78f93fe3a324f2b09771,489.4933011,Directed
0x0bb3d56593906e55aaa3b3f3e525b90b857fe0ce,0x4281c296369fe85620450f5933b9fcc33287bfab,486.826004,Directed
0x0e9439af1928c126cad134ed9565dbb5e49f9999,0x9d877157c1c811cc5b7593c43719ac825f6c1d88,496.5660445,Directed
0x0ed9a86e19a3eb8081c036e7bc9e51f4c835c9c2,0xf454690f55bcddc5d8a29268d60bc158c49da5bc,495.2884415,Directed
0x0f91c61e58fd468b96f50aa53673b9ffccfaa89a,0x002bcd751410a69b3bce463890abb2fcab81a755,491.0786045,Directed
0x11740264e31fed3fb732890389a683275081b2d8,0xc1c425042188c182c720f0853279cadf5e75ca87,494.0770483,Directed
0x11e01ac1b26aa29d44c9629c05ad5bea64796ef2,0x28b4fd95f749cea7ac41fe7fdd5cecb91bc62358,497.3808359,Directed
0x1200d1cdce4cf718b0ed069ae230020af3ad84c5,0x6396c19a44ccfa30c861807e1b8e98a7ab2b8dc2,488.9898892,Directed
0x143aa053fd01d51d1bb84be766aa015f940ccb42,0x93efefc25fcaf31d7695f28018d7a11ece55457f,487.6646445,Directed
0x166875a4412618bcb6a22da6e6c08f7aaf855837,0x0cf5993973e860bb267f2bd92583f94e02359fff,490.352401,Directed
0x16e2bd9d9757667c267c8a1f0bf01b830eb44b0d,0xd0c1b21a6179c33593158ff9c04d83a6398e3c4f,497.5379327,Directed
0x1853e897aee177f9924487a176cf546f8431385c,0x4420e64747c571898084370953e1d74c786f8de5,488.8014324,Directed
0x186ecfd89812df6cd6bf438e65ec4d7b69c912c7,0xf454690f55bcddc5d8a29268d60bc158c49da5bc,497.6828763,Directed
0x1a4c7d97186ff35d20040328e9eb517a507dfe39,0x95a91a4a20a4522edc7bd90efe20287e365b3637,493.2320044,Directed
0x1ba6eae7fd8d9706e647f556e0937d40155898c7,0x179012cc8ef3bb58412e18ed69981d487554fd9a,494.2003588,Directed
0x1bb2709ec3e970c36b6fcda1eba92a7734440f74,0xa182118703eca1c8a55b242298bda53985f1fb07,491.3449012,Directed
0x1cc0a9c31145dd2838e99d2f1378b3edbec6cef0,0x3f7c2d17d7127e452c261e7b532138cac1eb03f3,493.7009878,Directed
0x1d29e3b6f9cfd846fc2cd0d8fa8df9118fcf4ff1,0xefc844da1fbc4b10b9db59ea365236140cf71ec4,495.2605934,Directed
0x1de02529c5c5df6dfb7674ef8773117c2dff7cd4,0x09f657e02de9e335eddc809cc2a7b4a4ed8454b8,496.323336,Directed
0x1e9373af5f508c95b8910a70c5bbe5db25be5f83,0x1d315040f1b18ac96a2919b057043099cd275f79,496.1397007,Directed
0x1eebe7e77f5a8fb67fcb71baff38ec24bfd92f61,0x95a91a4a20a4522edc7bd90efe20287e365b3637,493.0623883,Directed
0x228d70f9826d31987fa8c873d056a78ed20bbf54,0x8011eabd635fba655eec4f0ff821f19c49886246,495.3633951,Directed
0x22ccdd76da6ea44a34cf71d61a6f664a4efb5e60,0x2db898c7146a79658284d3c1f378b0bd4de02348,498.4293929,Directed
0x25b24fa3a7fdbb89787febe27b968689f5f9abd7,0x0f00f63e28dc0e131d2df0859a6e700a79430a72,489.1793561,Directed
0x277b36ba56a9b705d63de9d7da8b44bf0fe43a65,0x1cbae106f89f3cd4d4ba3d4d92cf2caedeb1dbac,488.5108247,Directed
0x279a3f4d766593afa57ff1b8de71c9923ddaa02f,0x1f1d8ed2ce1b2cb9718a9a5a0fbb31d6bd92130a,488.7513234,Directed
0x2990baa73eb7edbb689b92364945d0cb7132edd5,0x7cadcf96eec22cc067063b96ab4f6cb996d391ec,489.3582611,Directed
0x2b1855903a4ecb9bc5e86e570b86990d03cb1101,0xb7f0592b292adbc77cb6d14e7dc6eee2206ce4a0,492.6653954,Directed
0x2b3cd5110e84f8f43e132c4b99caa8091d9e4a18,0xb69b3912979ac2571f86843000a21c6c5ce84342,498.3689002,Directed
0x2c4fbce6eb44fb7847bd9784c63213eee683a8c8,0x39f82e1c09bc6d7baccc1e79e5621ff812f50572,486.7400287,Directed
0x2d0f360af8d1465d32e7908f1f3e4c4735acebb3,0xdf070b9dfa63b76b097c1553ccc71d06b70fa358,494.882623,Directed
0x2e92f273cc113e8044901d07dcf41044861553bf,0xb5a91befd92dc3a2714ca0df1def50ab6220a45c,496.2811849,Directed
0x30af547e2b42b533d415d9f210fee0b85bb9526f,0xdd34c90740abc7ae1be11e0ce4f0a061620407d7,493.9067498,Directed
0x31a87fa920c420c00e730e90476c475807d42ef2,0x6789a0b555a0618d337b94e500e35f043fd7261c,493.0497614,Directed
0x3227d52782f316601f243d78171b6ed180450b43,0x1a36a5e00724ede9f2058040c61f7e9ad0b0daf0,497.4290389,Directed
0x35cd4fa0d85c36f978a3dbee50670574c76993f6,0x0922551b82d68b41c8f1e99582480cc5acb28ce0,491.0456848,Directed
0x39ef75d36ba964146d45340e959f8dd25c48a6c4,0x91d16803b06008f2316d18fd581460b9ca993394,488.5604221,Directed
0x3a4a096e18d69bdc5cfd2505c45b019f34b323eb,0x96afc90cf5f7352fce41024eb6e11076ee445acc,496.5274617,Directed
0x3b75389434568344536f3327cc27c684f86a936d,0x0a7fa2c650eedf0781f04cbd1a2ef8c6bf8b3787,486.9649537,Directed
0x3bf680566aae3798fe0b10c1f0ff284005af83c5,0x797faa1b52ccc2706f55dd09edd1974ba857cd86,494.2216592,Directed
0x3cc655fc04d26218af83d9392d77000ccec270d7,0x27e1b1ea8116feee71947c2de2d0ac741d5ce77b,486.6906369,Directed
0x3f245b9e76a8849894c5f081562dbb927bb1face,0x9e93530df033899e6334d6941e67a24f7ba6c5ea,494.7178935,Directed
0x3f7c2d17d7127e452c261e7b532138cac1eb03f3,0x7372b561d02b46fcc97d7e3a4fad37648db22a32,493.3226876,Directed
0x3f7c2d17d7127e452c261e7b532138cac1eb03f3,0xeb483de9b80e286c629f10571cdafa6f397b8bde,491.4754789,Directed
0x41625efc8faf9a45b7e2573215897be5a4753c51,0x6d2e90fd012b35d3555266ad4e4866c9080a067c,489.7888312,Directed
0x44a12f1064beac8b97d973667037a8bb92f16f78,0xffbdcd1c606b88a37e953dd81cc8d20b11a9d77a,497.7757805,Directed
0x44b258cec1f745def492ff7c422ea930d26f52c7,0x4bfe6fa35149db081520aea5e503946572718756,499.3205846,Directed
0x450961bd132ac583481d46c9f47ee5518b90f1fa,0xc0587f10c4247ded0b37c08b6bfbe4107afe2a9d,491.0437286,Directed
0x4c11a177ffc8b4f5bc7992afec619cc988320186,0xf43549f7f704c22ac00b2201f9dad1493290a535,495.4036718,Directed
0x4d404bee7059e18efbdd23dc5b54dbc5599e9fe0,0x0ad8484a353ad7e38bb893f8d331d5adbe1b71e5,496.5766109,Directed
0x4ec2296622eae06860693eb1f6a0d4aa4f49430c,0x880517c4e61f634eb26e59e702726e2cbae53959,493.8613946,Directed
0x4f38e26c9996f0314a4d79c4a2874446e719b43a,0x7ccc4627873db3b71960e0cc7814d2f951d6e287,495.1654008,Directed
0x4fce99d458b0f6a7398cf9c1de852b57f237b391,0xfa019d21493b08d377bc5ae3e2a44f5af0b3e2b3,491.7675945,Directed
0x561da1441fb1d41f2482ad62714756a505889c83,0x05a410a3b94fd42a8505c6a3f8ef871efe8d1f38,490.6824994,Directed
0x595689898d5ac82e9ede49563fb87f3ebe263666,0xeb82b7f6cf3d1f6359927acdcc3f64a7df51b8cc,490.4224577,Directed
0x5ae90e54815798b7f1056cc01a38978d40a71d95,0xd6cb9fd0d3ae186999f8c6f11ddda3a6654f0136,491.1095952,Directed
