Source,Target,Type,Weight
0x913bb81a957aec7d0e46c8dfc46f87cdde2e7b59,0x4ec607d0d5683a6e2fa4ca1278205bd81f47ce82,Directed,230.2143851
0xd03d6a433a903052df6420f3756a79b8cc7aadcd,0x99d8f6c4760a1078c3bceed9e27e397fb488e19a,Directed,0.01
0x03ebaf3f967767ea31c49025fd6928619ec43afd,0xc7bdf2bdc064310896794a9cd1db8eef07ffc32e,Directed,303.2991172
0x0ad8484a353ad7e38bb893f8d331d5adbe1b71e5,0x4bfe6fa35149db081520aea5e503946572718756,Directed,719.1126424
0xf6511ed068459cab3225fb900437fdfae446e53a,0x113844f9fdd2eb60e8083dec243c1d9522c8af9a,Directed,578.1994737
0xbaea3ed4a1a9cd58ccce5e0f52c68c852deb5c68,0xa0a19623fa75eae2eae5d45eb115574d6aee9390,Directed,604.6853186
0xdda7960a274187f8aa0ae1737a6aa9342b244f2f,0x16dfa2c3b52aae5eaaccd191fa7d2849e6dd4210,Directed,152.0687252
0xaaf0e31bb5224b664aa7f16c519824e8ae8295ca,0x1a449fb2e65853dcf49451577cae1834b6505693,Directed,630.1214572
0x22ccdd76da6ea44a34cf71d61a6f664a4efb5e60,0x2db898c7146a79658284d3c1f378b0bd4de02348,Directed,578.989161
0xde16d722c7c364efa2572ccd45466a44581cf8d2,0x773860b5f1b88be209467e78ddd8859fd5e80b66,Directed,703.478754
0x086a1cab416461d0f92e75b1713cb3b8b44377fe,0x6840e1b08ee1b07323601cb517a7fa770209cbc9,Directed,663.9418445
0xbe9deb352c06de4d13094d3b005a2f6176e0b4f1,0xddeb20c701d3dc5af1d356db0fd4bc37f1282e1d,Directed,552.0801085
0xc1ae19884e5d529872028c3ec1c9fe259d4275b2,0x463667453bef14157dc8fc348fcec7b01c6a71ea,Directed,1206.540485
0x651ed6aa3fcf9726567183880190c84b52ffde19,0x8da4fc8aefcaafb448d3cc811de195f91785d90e,Directed,1035.304636
0xb1c89ffcef4d8a5202b8baad65dd26da0855c87b,0x6d276f36f2f21d44f048bc4488dde11cb0fd3a0d,Directed,190.8579928
0xadc445c80282504e4af6afeb5681fded2c3d6069,0xc923cceb5f8181e7b83b9a846a299362263db1a1,Directed,378.1477252
0xc7bdf2bdc064310896794a9cd1db8eef07ffc32e,0x4fdee5d87480db6b32737a9ebd38ca8aa6401b03,Directed,786.5439548
0x4d4f66b55d392e09a5dc90e5dcf64e312ad38275,0x3cb73b01ec49a74c2b14a079c1f3fac4608235ad,Directed,600.1749644
0xfd7eacfb92beaacbb69e9f9aef781022b210672e,0x49042ae512db9ef9692e8a65977356d02fb8fbdd,Directed,655.3032786
0xc66a08a27e1c8f0aafbb679c560da262c5614b3a,0x3e71b7af0ce89138ac7539a195c6395fff58bb83,Directed,319.7672778
0x213545e17ebefaf9623f78e374412915423518ac,0xb5b165fee7ada0b0a2d3fd0f2ca0e5e66e70b239,Directed,468.6809025
0xaa4b560b041f432e77193d9fb97880c883e78af0,0xa608f7958061ae8498d73aa0d8f6f5e8f51135ae,Directed,770.8791317
0xb9b49ff25bbd5da9151435cb1df85f0b20821b42,0x9cdb219746b0dc7cfbba17ad6070c8a643adc4eb,Directed,482.6068808
0x9e9825c9270c32806258280aea5ae4654b6d5ea4,0xe9369dd248e1c97c9c93ab93d18ce2f153fef19b,Directed,225.3330273
0x02af9102a2b6e8fc4dbfc65e7d9280f732374fb3,0x28b4fd95f749cea7ac41fe7fdd5cecb91bc62358,Directed,479.9641583
0x1d132c165feddfa72ab5fca8b7dfa522efb53a56,0xe8b9616f0b144f32cb6b8c64050b5d7be944b226,Directed,714.5113602
0xd63b5e22846955862522b3a4f6ed83fa6c982acb,0x4b8a3f161b22228925ea0606be7044e048eddb62,Directed,1016.911118
